token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
1194,INF336L01784,Dividend - Payout,HSBC Medium to Long Duration Fund (IDCW),Regular,HSBCIIDP-DP,10.7513,0.01,0.11,5000.00,QUARTERLY,11th February 2025
1194,INF336L01792,Dividend - Reinvest,HSBC Medium to Long Duration Fund (IDCW),Regular,HSBCIID-DR,10.7513,0.01,0.11,5000.00,QUARTERLY,11th February 2025
1201,INF204K01FM2,Dividend - Payout,Nippon India Short Term Fund - (IDCW-M),Regular,RELSTF-DP-M,11.5089,0.00,-0.01,100.00,MONTHLY,11th February 2025
1201,INF204K01FN0,Dividend - Reinvest,Nippon India Short Term Fund - (IDCW-M),Regular,RELSTF-DR-M,11.5089,0.00,-0.01,100.00,MONTHLY,11th February 2025
1206,INF663L01GW4,Growth,PGIM India Large Cap Fund (G),Regular,PRFEGP-GR,312.73,-5.17,-1.63,5000.00,,11th February 2025
1212,INF209K01405,Growth,Aditya Birla SL Dividend Yield Fund (G),Regular,B261G,427.11,-5.76,-1.33,1000.00,,10th February 2025
1213,INF209K01397,Dividend - Payout,Aditya Birla SL Dividend Yield Fund (IDCW),Regular,B261D-DP,26.26,-0.36,-1.35,1000.00,INTERIM,10th February 2025
1213,INF209K01CP1,Dividend - Reinvest,Aditya Birla SL Dividend Yield Fund (IDCW),Regular,B261D-DR,26.26,-0.36,-1.35,1000.00,INTERIM,10th February 2025
1217,INF663L01GU8,Dividend - Payout,PGIM India Large Cap Fund (IDCW),Regular,PRFEDP-DP,19.43,-0.32,-1.62,5000.00,,11th February 2025
1217,INF663L01GV6,Dividend - Reinvest,PGIM India Large Cap Fund (IDCW),Regular,PRFEDP-DR,19.43,-0.32,-1.62,5000.00,,11th February 2025
1220,INF223J01DB2,Growth,PGIM India Corporate Bond Fund (G),Regular,DWBFRG-GR,41.6421,0.01,0.03,5000.00,,11th February 2025
1221,INF223J01DC0,Dividend - Payout,PGIM India Corporate Bond Fund (IDCW-M),Regular,DWBFRM-DP,12.9641,0.00,0.03,5000.00,MONTHLY,11th February 2025
1221,INF223J01DD8,Dividend - Reinvest,PGIM India Corporate Bond Fund (IDCW-M),Regular,DWBFRM-DR,12.9641,0.00,0.03,5000.00,MONTHLY,11th February 2025
1223,INF174K01153,Growth,Kotak Bluechip Fund (G),Regular,K133U-GR,520.524,-8.72,-1.65,100.00,,11th February 2025
1227,INF740K01243,Growth,DSP Top 100 Equity Fund (G),Regular,DSP15-GR,435.255,-6.29,-1.42,100.00,,11th February 2025
1228,INF740K01227,Dividend - Payout,DSP Top 100 Equity Fund (IDCW),Regular,DSP16-DP,26.298,-0.38,-1.43,100.00,INTERIM,11th February 2025
1228,INF740K01235,Dividend - Reinvest,DSP Top 100 Equity Fund (IDCW),Regular,DSP384-DR,26.298,-0.38,-1.43,100.00,INTERIM,11th February 2025
1231,INF194K01LJ9,Growth,Bandhan Money Manager Fund - Regular (G),Regular,IDFCFRG-GR,39.0854,0.01,0.01,100.00,,11th February 2025
1232,INF194K01LN1,Dividend - Reinvest,Bandhan Money Manager Fund - Regular (IDCW-M),Regular,IFFRM-DR,10.2748,0.00,0.05,100.00,MONTHLY,11th February 2025
1232,INF194K01LO9,Dividend - Payout,Bandhan Money Manager Fund - Regular (IDCW-M),Regular,IFFRM-DP,10.2748,0.00,0.05,100.00,MONTHLY,11th February 2025
1233,INF109K01621,Dividend - Reinvest,ICICI Pru Multicap Fund - (IDCW),Regular,ICICI122-DR,32.02,-0.56,-1.72,5000.00,INTERIM,11th February 2025
1233,INF109K01FK7,Dividend - Payout,ICICI Pru Multicap Fund - (IDCW),Regular,ICICI122P-DP,32.02,-0.56,-1.72,5000.00,INTERIM,11th February 2025
1236,INF277K01741,Growth,Tata Nifty 50 Index Fund - Regular,Regular,TAINA-GR,142.7969,-1.91,-1.32,5000.00,INTERIM,11th February 2025
1238,INF277K01758,Growth,Tata BSE Sensex Index Fund - Regular,Regular,TAISA-GR,190.6187,-2.54,-1.32,5000.00,INTERIM,11th February 2025
1256,INF090I01LN5,Dividend - Reinvest,Franklin India Floating Rate Fund - (IDCW-D),Regular,144-DR,10.2532,0.00,0.03,1000.00,DAILY,11th February 2025
1257,INF204K01372,Dividend - Payout,Nippon India Vision Fund - (IDCW),Regular,GSDP-DP,59.13,-1.18,-1.96,5000.00,INTERIM,11th February 2025
1257,INF204K01380,Dividend - Reinvest,Nippon India Vision Fund - (IDCW),Regular,GSDP-DR,59.13,-1.18,-1.96,5000.00,INTERIM,11th February 2025
1260,INF223J01DE6,Dividend - Payout,PGIM India Corporate Bond Fund (IDCW-Q),Regular,DWBFRQ-DP,11.4801,0.00,0.00,5000.00,QUARTERLY,11th February 2025
1260,INF223J01DF3,Dividend - Reinvest,PGIM India Corporate Bond Fund (IDCW-Q),Regular,DWBFRQ-DR,11.4801,0.00,0.00,5000.00,QUARTERLY,11th February 2025
1261,INF223J01CY6,Dividend - Payout,PGIM India Corporate Bond Fund (IDCW-A),Regular,DWBFRA-DP,10.8563,0.01,0.06,5000.00,ANNUAL,11th February 2025
1261,INF223J01CZ3,Dividend - Reinvest,PGIM India Corporate Bond Fund (IDCW-A),Regular,DWBFRA-DR,10.8563,0.01,0.06,5000.00,ANNUAL,11th February 2025
1279,INF903J01181,Dividend - Payout,Sundaram Mid Cap Fund - (IDCW),Regular,SBNP05P-DP,60.458,-1.68,-2.71,100.00,INTERIM,11th February 2025
1279,INF903J01199,Dividend - Reinvest,Sundaram Mid Cap Fund - (IDCW),Regular,SBNP05-DR,60.458,-1.68,-2.71,100.00,INTERIM,11th February 2025
1310,INF336L01BK3,Dividend - Reinvest,HSBC Liquid Fund - Reg (IDCW-D),Regular,HSCAD-DR,1019.3,0.00,0.00,100000.00,DAILY,11th February 2025
1336,INF194K01LQ4,Dividend - Reinvest,Bandhan Money Manager Fund - Regular (IDCW-W),Regular,IDFRW-DR,10.1261,0.01,0.06,100.00,WEEKLY,11th February 2025
1344,INF209K01LZ1,Growth,Aditya Birla SL Savings Fund - Regular (G),Regular,BSL132G-GR,531.58,0.14,0.03,1000.00,,11th February 2025
1348,INF209K01942,Growth,Aditya Birla SL Short Term Fund (G),Regular,B341G,45.909,0.02,0.04,1000.00,,11th February 2025
1349,INF209K01RT1,Growth,Aditya Birla SL Liquid Fund - Inst (G),Regular,BSL150G-GR,682.4986,0.15,0.02,10000000.00,,11th February 2025
1361,INF109K01399,Dividend - Reinvest,ICICI Pru Long Term Bond Fund - (IDCW-Q),Regular,ICICI21Q-DR-Q,12.3995,0.01,0.08,5000.00,QUARTERLY,11th February 2025
1361,INF109K01EZ8,Dividend - Payout,ICICI Pru Long Term Bond Fund - (IDCW-Q),Regular,IC21QP-DP,12.3995,0.01,0.08,5000.00,QUARTERLY,11th February 2025
1361,INF109K01EZ8,Dividend - Payout,ICICI Pru Long Term Bond Fund - (IDCW-Q),Regular,ICICI21QP-DP-Q,12.3995,0.01,0.08,5000.00,QUARTERLY,11th February 2025
1368,INF173K01BA3,Growth,Sundaram Short Duration Fund (G),Regular,SUISIG-GR,42.7881,0.02,0.04,5000.00,,11th February 2025
1369,INF173K01BB1,Dividend - Payout,Sundaram Short Duration Fund (IDCW-M),Regular,SUISIM-DP,12.923,0.00,0.02,5000.00,MONTHLY,11th February 2025
1369,INF173K01BC9,Dividend - Reinvest,Sundaram Short Duration Fund (IDCW-M),Regular,SUISIM-DR,12.923,0.00,0.02,5000.00,MONTHLY,11th February 2025
1377,INF204K01927,Growth,Nippon India Banking&Financial Services (G),Regular,BFGP,547.4174,-8.33,-1.50,5000.00,,11th February 2025
1391,INF740K01599,Growth,DSP Credit Risk Fund (G),Regular,DSP78-GR,42.3032,0.01,0.03,100.00,,11th February 2025
1392,INF740K01581,Dividend - Payout,DSP Credit Risk Fund (IDCW),Regular,DSP79-DP,12.3061,0.01,0.05,100.00,QUARTERLY,11th February 2025
1392,INF740K01AB9,Dividend - Reinvest,DSP Credit Risk Fund (IDCW),Regular,DSP403-DR,12.3061,0.01,0.05,100.00,QUARTERLY,11th February 2025
1404,INF209K01975,Dividend - Payout,Aditya Birla SL Short Term Fund (IDCW),Regular,B341QD-DP,14.5906,0.00,0.00,1000.00,INTERIM,11th February 2025
1404,INF209K01DK0,Dividend - Reinvest,Aditya Birla SL Short Term Fund (IDCW),Regular,B341QD-DR,14.5906,0.00,0.00,1000.00,INTERIM,11th February 2025
1406,INF200K01LP1,Dividend - Reinvest,SBI Overnight Fund (IDCW),Regular,SB57D-DR,1300.6092,0.22,0.02,5000.00,WEEKLY,11th February 2025
1407,INF277K01LQ7,Growth,Tata Money Market Fund - Regular (G),Regular,TLSG01-GR,4577.3438,1.06,0.02,5000.00,,11th February 2025
1416,INF767K01AO5,Growth,LIC MF Low Duration Fund - Regular (G),Regular,LCSTGP-GR,38.379,0.01,0.02,5000.00,,11th February 2025
1417,INF767K01AM9,Dividend - Payout,LIC MF Low Duration Fund - Regular (IDCW-M),Regular,LCSTDP-DP,13.234,0.00,0.03,5000.00,MONTHLY,11th February 2025
1417,INF767K01AN7,Dividend - Reinvest,LIC MF Low Duration Fund - Regular (IDCW-M),Regular,LCSTDP-DR,13.234,0.00,0.03,5000.00,MONTHLY,11th February 2025
1422,INF204K01893,Dividend - Payout,Nippon India Banking&Financial Services (IDCW),Regular,BFDP-DP,62.7238,-0.96,-1.50,5000.00,,11th February 2025
1422,INF204K01901,Dividend - Reinvest,Nippon India Banking&Financial Services (IDCW),Regular,BFDP-DR,62.7238,-0.96,-1.50,5000.00,,11th February 2025
1424,INF767K01857,Dividend - Payout,LIC MF Conservative Hybrid Fund - Regular (IDCW-A),Regular,LCMIYD-DP,12.6761,-0.03,-0.27,5000.00,ANNUAL,11th February 2025
1424,INF767K01865,Dividend - Reinvest,LIC MF Conservative Hybrid Fund - Regular (IDCW-A),Regular,LCMIYD-DR,12.6761,-0.03,-0.27,5000.00,ANNUAL,11th February 2025
1425,INF209K01MJ3,Growth,Aditya Birla SL Money Manager Fund-Retail(G),Regular,BSL511G-GR,442.2014,0.09,0.02,5000.00,,11th February 2025
1426,INF209K01MF1,Growth,Aditya Birla SL Floating Rate Fund-Retail (G),Regular,B512G,486.7771,0.08,0.02,5000.00,,11th February 2025
1427,INF109K01753,Dividend - Reinvest,ICICI Pru Savings Fund - Regular (IDCW-W),Regular,ICICI1526-DR-W,105.4583,-0.15,-0.14,100.00,WEEKLY,11th February 2025
1427,INF109K01JO1,Dividend - Payout,ICICI Pru Savings Fund - Regular (IDCW-W),Regular,IC1710P-DP,105.4583,-0.15,-0.14,100.00,WEEKLY,11th February 2025
1427,INF109K01JO1,Dividend - Payout,ICICI Pru Savings Fund - Regular (IDCW-W),Regular,ICICI1710P-DP-W,105.4583,-0.15,-0.14,100.00,WEEKLY,11th February 2025
1428,INF194K01JU0,Growth,Bandhan Bond Fund - MTP - Regular (G),Regular,IDFCMTG-GR,44.1615,0.02,0.05,1000.00,,11th February 2025
1429,INF194K01KE2,Dividend - Reinvest,Bandhan Bond Fund - MTP - Regular (IDCW-Bimonthly),Regular,IFMTD-DR,10.116,0.01,0.06,1000.00,MONTHLY,11th February 2025
1429,INF194K01KF9,Dividend - Payout,Bandhan Bond Fund - MTP - Regular (IDCW-Bimonthly),Regular,IFMTD-DP,10.116,0.01,0.06,1000.00,MONTHLY,11th February 2025
1435,INF789F01BB4,Dividend - Reinvest,UTI-Liquid Fund (G),Regular,UTICPMD-DR-M,3786.1018,0.82,0.02,500.00,,11th February 2025
1436,INF789F01AZ5,Dividend - Reinvest,UTI-Liquid Fund (Periodic Div),Regular,UTICPDP-DR-D,1133.5174,0.25,0.02,500.00,DAILY,11th February 2025
1437,INF789F01AJ9,Growth,UTI-Short Duration Fund (G),Regular,UTISTINCME-GR,43.125,0.02,0.03,10000.00,,11th February 2025
1438,INF789F01AH3,Dividend - Payout,UTI-Short Duration Fund (IDCW),Regular,UTISTINCME-DP,22.798,0.01,0.04,10000.00,,11th February 2025
1438,INF789F01AI1,Dividend - Reinvest,UTI-Short Duration Fund (IDCW),Regular,UTISTINCME-DR,22.798,0.01,0.04,10000.00,,11th February 2025
1443,INF192K01700,Growth,JM Dynamic Bond Fund (G),Regular,FFLG-GR,40.0287,0.04,0.10,1000.00,,11th February 2025
1444,INF192K01684,Dividend - Payout,JM Dynamic Bond Fund (IDCW-Q),Regular,FFLD-DP,40.1543,0.04,0.11,1000.00,QUARTERLY,11th February 2025
1444,INF192K01692,Dividend - Reinvest,JM Dynamic Bond Fund (IDCW-Q),Regular,JMFFLD-DR,40.1543,0.04,0.11,1000.00,QUARTERLY,11th February 2025
1446,INF204K01BU4,Growth,Nippon India GSF - (G),Regular,RELGLTRP-GR,36.9458,0.03,0.07,5000.00,,11th February 2025
1455,INF174K01NA6,Growth,Kotak Money Market Fund (G),Regular,K252-GR,4353.7248,0.87,0.02,100.00,,11th February 2025
1456,INF174K018O0,Dividend - Payout,Kotak Money Market Fund (IDCW-M),Regular,KO255DP-DP,1056.8859,0.22,0.02,100.00,MONTHLY,11th February 2025
1456,INF174K01NB4,Dividend - Reinvest,Kotak Money Market Fund (IDCW-M),Regular,K255-M-DR,1056.8859,0.22,0.02,100.00,MONTHLY,11th February 2025
1469,INF732E01037,Dividend - Reinvest,Nippon India ETF Nifty 1D Rate Liquid BeES,Regular,RL02-DR,1000.0,0.00,0.00,2500000.00,DAILY,11th February 2025
1487,INF955L01674,Growth,Baroda BNP Paribas Multi Cap Fund-Reg (G),Regular,BPGRGP-GR,264.1222,-5.96,-2.21,5000.00,,11th February 2025
1488,INF955L01658,Dividend - Payout,Baroda BNP Paribas Multi Cap Fund-Reg (IDCW),Regular,BPGRDP-DP,52.7798,-1.19,-2.21,5000.00,,11th February 2025
1488,INF955L01666,Dividend - Reinvest,Baroda BNP Paribas Multi Cap Fund-Reg (IDCW),Regular,BPGRDP-DR,52.7798,-1.19,-2.21,5000.00,,11th February 2025
1491,INF760K01019,Growth,Canara Robeco Flexi Cap Fund (G),Regular,CRDVGP-GR,305.83,-6.27,-2.01,5000.00,,11th February 2025
1500,INF789F01570,Growth,UTI-Ultra Short Duration Fund (G),Regular,UTIFLOTNG-GR,4121.1108,0.76,0.02,500.00,,11th February 2025
1508,INF277K01907,Growth,Tata Equity Saving Fund - (App),Regular,IFMG,52.9357,-0.13,-0.25,5000.00,,10th February 2025
1509,INF090I01296,Growth,Templeton India Value Fund - (G),Regular,FTIGF-GR,662.9543,-11.26,-1.67,5000.00,,11th February 2025
1513,INF109K01738,Dividend - Reinvest,ICICI Pru Savings Fund - Regular (IDCW-D),Regular,ICICI1524-DR-D,105.7358,0.00,0.00,100.00,DAILY,11th February 2025
1514,INF789F01562,Dividend - Reinvest,UTI-Ultra Short Duration Fund (IDCW-W),Regular,UTIFLOTNGW-DR-W,1319.9206,0.24,0.02,20000.00,WEEKLY,11th February 2025
1516,INF336L01BS6,Dividend - Reinvest,HSBC Liquid Fund - Inst (IDCW-D),Regular,HSCAIDD-DR,1562.8262,0.00,0.00,100000.00,DAILY,11th February 2025
1524,INF789F01BA6,Dividend - Payout,UTI-Liquid Fund (IDCW-M),Regular,UTICPGP-DP-M,1071.9956,0.24,0.02,500.00,MONTHLY,11th February 2025
1524,INF789F01BC2,Growth,UTI-Liquid Fund (IDCW-M),Regular,UTICPMD-GR,1071.9956,0.24,0.02,500.00,MONTHLY,11th February 2025
1527,INF760K01027,Dividend - Payout,Canara Robeco Flexi Cap Fund (IDCW),Regular,CRDVDP-DP,56.07,-1.15,-2.01,5000.00,,11th February 2025
1527,INF760K01035,Dividend - Reinvest,Canara Robeco Flexi Cap Fund (IDCW),Regular,CRDVDP-DR,56.07,-1.15,-2.01,5000.00,,11th February 2025
1530,INF789F01PT6,Growth,UTI-Gilt Fund - PF Plan (G),Regular,UTGLPG-GR,45.2395,0.03,0.07,500.00,,11th February 2025
1531,INF277K01923,Dividend - Reinvest,Tata Large Cap Fund - Regular (IDCW),Regular,PEFD-DR,101.2557,-1.55,-1.51,5000.00,INTERIM,11th February 2025
1531,INF277K01EG3,Dividend - Payout,Tata Large Cap Fund - Regular (IDCW),Regular,PEFD-DP,101.2557,-1.55,-1.51,5000.00,INTERIM,11th February 2025
1538,INF917K01AI8,Dividend - Payout,HSBC Corporate Bond Fund - (IDCW-HY),Regular,HS09P-DP,17.0306,0.00,0.00,5000.00,HALF YEARLY,11th February 2025
1538,INF917K01AJ6,Dividend - Reinvest,HSBC Corporate Bond Fund - (IDCW-HY),Regular,HS09-DR,17.0306,0.00,0.00,5000.00,HALF YEARLY,11th February 2025
1543,INF192K01866,Dividend - Payout,JM Liquid Fund - (IDCW-Q),Regular,LFRQ-DP,39.2986,0.01,0.02,1000.00,QUARTERLY,11th February 2025
1543,INF192K01874,Dividend - Reinvest,JM Liquid Fund - (IDCW-Q),Regular,JMLFRQ-DR,39.2986,0.01,0.02,1000.00,QUARTERLY,11th February 2025
1553,INF174K01393,Growth,Kotak Debt Hybrid Fund (G),Regular,K41MAIP-GR,56.021,-0.26,-0.46,100.00,,11th February 2025
1554,INF174K01401,Dividend - Reinvest,Kotak Debt Hybrid Fund (IDCW-M),Regular,K42MAIP-DR-M,12.8252,-0.05,-0.43,50000.00,MONTHLY,11th February 2025
1554,INF174K01419,Dividend - Payout,Kotak Debt Hybrid Fund (IDCW-M),Regular,K42DP-DP-M,12.8252,-0.05,-0.43,50000.00,MONTHLY,11th February 2025
1559,INF277K01295,Dividend - Reinvest,Tata Hybrid Equity Fund - Regular (IDCW),Regular,BFD-TATA-DR,90.6429,-1.40,-1.52,5000.00,INTERIM,11th February 2025
1559,INF277K01DB6,Dividend - Payout,Tata Hybrid Equity Fund - Regular (IDCW),Regular,BFD-TATA-DP,90.6429,-1.40,-1.52,5000.00,INTERIM,11th February 2025
1569,INF090I01262,Growth,Franklin India Dynamic Asset Allocation FoFs (G),Regular,FTIFTDPEF-GR,155.8424,-0.68,-0.43,5000.00,,10th February 2025
1570,INF090I01247,Dividend - Payout,Franklin India Dynamic Asset Allocation FoFs(IDCW),Regular,FR171P-DP,42.238,-0.18,-0.43,5000.00,,10th February 2025
1570,INF090I01254,Dividend - Reinvest,Franklin India Dynamic Asset Allocation FoFs(IDCW),Regular,FTIFTDPEF-DR,42.238,-0.18,-0.43,5000.00,,10th February 2025
1571,INF174K01NI9,Growth,Kotak Liquid Fund - Regular (G),Regular,K462-GR,5140.7278,1.09,0.02,100.00,,11th February 2025
1574,INF789F01PR0,Dividend - Payout,UTI-Gilt Fund - PF Plan (IDCW),Regular,UTGLPD-DP,24.8999,0.01,0.04,20000.00,QUARTERLY,11th February 2025
1574,INF789F01PS8,Dividend - Reinvest,UTI-Gilt Fund - PF Plan (IDCW),Regular,UTGLPD-DR,24.8999,0.01,0.04,20000.00,QUARTERLY,11th February 2025
1576,INF789F01PU4,Dividend - Payout,UTI-Gilt Fund - PF - (PDAR),Regular,UTIGLPRD-DP,45.2647,0.02,0.05,20000.00,,11th February 2025
1577,INF903J01FS8,Dividend - Payout,Sundaram Medium Duration Fund - (IDCW-H),Regular,SUN211P-DP,13.5674,0.01,0.05,5000.00,HALF YEARLY,11th February 2025
1577,INF903J01FV2,Dividend - Reinvest,Sundaram Medium Duration Fund - (IDCW-H),Regular,SUN211-DR,13.5674,0.01,0.05,5000.00,HALF YEARLY,11th February 2025
1578,INF903J01FT6,Dividend - Payout,Sundaram Medium Duration Fund - (IDCW-A),Regular,SUN212P-DP,13.3082,0.01,0.06,5000.00,ANNUAL,11th February 2025
1578,INF903J01FW0,Dividend - Reinvest,Sundaram Medium Duration Fund - (IDCW-A),Regular,SUN212-DR,13.3082,0.01,0.06,5000.00,ANNUAL,11th February 2025
1579,INF109K01852,Growth,ICICI Pru Thematic Advantage Fund (FOF) (G),Regular,ICICIAVAP-GR,207.8597,-2.01,-0.96,5000.00,,10th February 2025
1580,INF109K01795,Growth,ICICI Pru Passive Strategy Fund (FOF) (G),Regular,ICICIAAP-GR,148.5393,-2.39,-1.58,5000.00,,11th February 2025
1581,INF109K01837,Growth,ICICI Pru Asset Allocator Fund (FOF) (G),Regular,ICICIAMP-GR,112.8216,-0.55,-0.48,5000.00,,10th February 2025
1582,INF109K01811,Growth,ICICI Pru Income Optimizer Fund (FOF) (G),Regular,ICICIACP-GR,60.5437,-0.07,-0.11,5000.00,,10th February 2025
1583,INF109K01878,Growth,ICICI Pru Debt Management Fund (FOF) (G),Regular,ICICIAVCP-GR,43.3004,0.01,0.02,100.00,,10th February 2025
1590,INF200K01719,Growth,SBI Magnum Medium Duration Fund (G),Regular,SBI069G-GR,49.4049,0.02,0.05,5000.00,,11th February 2025
1591,INF200K01727,Dividend - Payout,SBI Magnum Medium Duration Fund (IDCW),Regular,SBI069DP-DP,19.1508,0.01,0.06,5000.00,QUARTERLY,11th February 2025
1591,INF200K01735,Dividend - Reinvest,SBI Magnum Medium Duration Fund (IDCW),Regular,SBI069D-DR,19.1508,0.01,0.06,5000.00,QUARTERLY,11th February 2025
1592,INF277K01949,Dividend - Reinvest,Tata Ethical Fund - (IDCW),Regular,SSFD-DR,149.7874,-3.29,-2.15,5000.00,INTERIM,11th February 2025
1592,INF277K01EH1,Dividend - Payout,Tata Ethical Fund - (IDCW),Regular,SSFD-DP,149.7874,-3.29,-2.15,5000.00,INTERIM,11th February 2025
1599,INF179K01AE4,Growth,HDFC Hybrid Debt Fund (G),Regular,MILTG,78.6439,-0.24,-0.30,100.00,,11th February 2025
1600,INF179K01AA2,Dividend - Payout,HDFC Hybrid Debt Fund (IDCW-M),Regular,MILTM-DP,14.265,-0.05,-0.31,100.00,MONTHLY,11th February 2025
1600,INF179K01AB0,Dividend - Reinvest,HDFC Hybrid Debt Fund (IDCW-M),Regular,HDFCMILMD-DR-M,14.265,-0.05,-0.31,100.00,MONTHLY,11th February 2025
1601,INF179K01AC8,Dividend - Payout,HDFC Hybrid Debt Fund (IDCW-Q),Regular,MILTQ-DP,15.017,-0.04,-0.29,100.00,QUARTERLY,11th February 2025
1601,INF179K01AD6,Dividend - Reinvest,HDFC Hybrid Debt Fund (IDCW-Q),Regular,HDFCMILQD-DR-Q,15.017,-0.04,-0.29,100.00,QUARTERLY,11th February 2025
1602,INF174K01FL9,Growth,Kotak Gilt Invest - PF & Trust Plan (G),Regular,K102-GR,95.7697,0.01,0.01,100.00,,11th February 2025
1603,INF174K01FM7,Dividend - Reinvest,Kotak Gilt Invest - PF & Trust Plan (IDCW),Regular,K112-DR,11.957,0.00,-0.03,100.00,QUARTERLY,11th February 2025
1603,INF174K01FN5,Dividend - Payout,Kotak Gilt Invest - PF & Trust Plan (IDCW),Regular,KO112DP-DP,11.957,0.00,-0.03,100.00,QUARTERLY,11th February 2025
1613,INF789F01604,Growth,UTI-Overnight Fund (G),Regular,UTIGSECSTP-GR,3429.7184,0.58,0.02,500.00,,11th February 2025
1614,INF789F01588,Dividend - Payout,UTI-Overnight Fund (IDCW-Periodic),Regular,UTIGSECSTP-DP,1766.8717,0.30,0.02,20000.00,HALF YEARLY,11th February 2025
1614,INF789F01596,Dividend - Reinvest,UTI-Overnight Fund (IDCW-Periodic),Regular,UTIGSECSTP-DR,1766.8717,0.30,0.02,20000.00,HALF YEARLY,11th February 2025
1615,INF789F01893,Growth,UTI-Conservative Hybrid Fund - (G),Regular,UTIMISADV-GR,66.2034,-0.26,-0.39,5000.00,,11th February 2025
1616,INF789F01901,Dividend - Payout,UTI-Conservative Hybrid Fund - (IDCW-M),Regular,UTIMISADVM-DP-M,17.1447,-0.07,-0.38,25000.00,MONTHLY,11th February 2025
1616,INF789F01919,Dividend - Reinvest,UTI-Conservative Hybrid Fund - (IDCW-M),Regular,UTIMISADVM-DR-M,17.1447,-0.07,-0.38,25000.00,MONTHLY,11th February 2025
1617,INF789F01927,Dividend - Payout,UTI-Conservative Hybrid Fund - Monthly Payment,Regular,UTIMISADVP-DP-M,66.2373,-0.25,-0.38,25000.00,MONTHLY,11th February 2025
1618,INF789F01877,Dividend - Payout,UTI-Conservative Hybrid Fund - Flexi (IDCW),Regular,UTIMISADV-DP,43.1909,-0.17,-0.39,5000.00,,11th February 2025
1618,INF789F01885,Dividend - Reinvest,UTI-Conservative Hybrid Fund - Flexi (IDCW),Regular,UTIMISADV-DR,43.1909,-0.17,-0.39,5000.00,,11th February 2025
1624,INF204K01UC2,Dividend - Reinvest,Nippon India USD Fund (IDCW-D),Regular,RELRC55-DR,1114.15,0.00,0.00,10000.00,DAILY,11th February 2025
1626,INF204K01UJ7,Dividend - Reinvest,Nippon India Liquid Fund - Retail (IDCW-D),Regular,RLLFDD-DR,1524.28,0.00,0.00,10000.00,DAILY,11th February 2025
1636,INF200K01AK5,Growth,SBI Magnum Gilt Fund - PF (G),Regular,040B,41.0415,0.02,0.05,25000.00,,11th February 2025
1639,INF200K01AC2,Dividend - Payout,SBI Magnum Gilt Fund - PF 1 yr (IDCW),Regular,039C-DP,19.7516,0.01,0.06,25000.00,QUARTERLY,11th February 2025
1639,INF200K01AD0,Dividend - Reinvest,SBI Magnum Gilt Fund - PF 1 yr (IDCW),Regular,039C-DR,19.7516,0.01,0.06,25000.00,QUARTERLY,11th February 2025
1641,INF200K01AF5,Dividend - Payout,SBI Magnum Gilt Fund - PF 2 yr (IDCW),Regular,039D-DP,19.9873,0.01,0.04,25000.00,QUARTERLY,11th February 2025
1641,INF200K01AG3,Dividend - Reinvest,SBI Magnum Gilt Fund - PF 2 yr (IDCW),Regular,039D-DR,19.9873,0.01,0.04,25000.00,QUARTERLY,11th February 2025
1642,INF200K01AH1,Growth,SBI Magnum Gilt Fund - PF 3 yr (G),Regular,040E,38.3461,0.02,0.04,25000.00,,11th February 2025
1643,INF200K01AI9,Dividend - Payout,SBI Magnum Gilt Fund - PF 3 yr (IDCW),Regular,039E-DP,19.3793,0.01,0.05,25000.00,QUARTERLY,11th February 2025
1643,INF200K01AJ7,Dividend - Reinvest,SBI Magnum Gilt Fund - PF 3 yr (IDCW),Regular,039E-DR,19.3793,0.01,0.05,25000.00,QUARTERLY,11th February 2025
1646,INF204K01FD1,Growth,Nippon India Hybrid Bond Fund (G),Regular,RELMIP-GR,55.1431,-0.10,-0.18,5000.00,,11th February 2025
1647,INF204K01FE9,Dividend - Payout,Nippon India Hybrid Bond Fund (IDCW-M),Regular,RELMIP-DP-M,11.1102,-0.02,-0.18,5000.00,MONTHLY,11th February 2025
1647,INF204K01FF6,Dividend - Reinvest,Nippon India Hybrid Bond Fund (IDCW-M),Regular,RELMIP-DR-M,11.1102,-0.02,-0.18,5000.00,MONTHLY,11th February 2025
1648,INF204K01FG4,Dividend - Payout,Nippon India Hybrid Bond Fund (IDCW-Q),Regular,RELMIP-DP-Q,12.1433,-0.02,-0.14,5000.00,QUARTERLY,11th February 2025
1648,INF204K01FH2,Dividend - Reinvest,Nippon India Hybrid Bond Fund (IDCW-Q),Regular,RELMIP-DR-Q,12.1433,-0.02,-0.14,5000.00,QUARTERLY,11th February 2025
1667,INF789F01PH1,Growth,UTI-Liquid Fund - Regular (G),Regular,UTICPIGG-GR,4172.2885,0.90,0.02,500.00,,11th February 2025
1668,INF789F01PG3,Dividend - Reinvest,UTI-Liquid Fund - Regular (IDCW-D),Regular,UTICPIDR-DR,1098.2863,0.24,0.02,20000.00,DAILY,11th February 2025
1669,INF789F01PK5,Dividend - Reinvest,UTI-Liquid Fund - Regular (IDCW-W),Regular,UTICPIWR-DR,1054.2711,0.23,0.02,20000.00,WEEKLY,11th February 2025
1670,INF789F01PI9,Dividend - Payout,UTI-Liquid Fund - Regular (IDCW-M),Regular,UTICPIMD-DP,1049.9192,0.23,0.02,20000.00,MONTHLY,11th February 2025
